URL,CMS_Type
envt.kerala.gov.in,WP
education.kerala.gov.in,WP
www.education.kerala.gov.in,WP
fire.kerala.gov.in,WP
old.forest.kerala.gov.in,Joomla
foodsafety.kerala.gov.in,WP
gad.kerala.gov.in,Drupal
www.gadsplais.kerala.gov.in,Joomla
www.excise.kerala.gov.in,WP
groundwater.kerala.gov.in,WP
www.keralaexcise.gov.in,WP
hed.kerala.gov.in,Joomla
www.hed.kerala.gov.in,Joomla
highereducation.kerala.gov.in,Joomla
hsgtechdept.kerala.gov.in,WP
iav.kerala.gov.in,WP
industry.kerala.gov.in,Joomla
homoeopathy.kerala.gov.in,WP
www.ims.kerala.gov.in,Drupal
ims.kerala.gov.in,Drupal
www.insurance.kerala.gov.in,Joomla
insurance.kerala.gov.in,Joomla
irrigation.kerala.gov.in,Drupal
itmission.kerala.gov.in,Drupal
kbps.kerala.gov.in,Joomla
keralacseb.kerala.gov.in,WP
www.kexcon.kerala.gov.in,Joomla
kdrb.kerala.gov.in,WP
kescpcr.kerala.gov.in,WP
kiidc.kerala.gov.in,WP
kfdc.kerala.gov.in,WP
kirtads.kerala.gov.in,WP
kpesrb.kerala.gov.in,WP
kriis.kerala.gov.in,WP
ksad.kerala.gov.in,WP
ksc.kerala.gov.in,WP
ksbc.kerala.gov.in,WP
kscbc.kerala.gov.in,WP
ksd.kerala.gov.in,Joomla
www.ksd.kerala.gov.in,Joomla
www.kslub.kerala.gov.in,WP
kslub.kerala.gov.in,WP
www.kstc.kerala.gov.in,WP
kstc.kerala.gov.in,WP
www.ktdfc.kerala.gov.in,Joomla
ksvc.kerala.gov.in,WP
ktdfc.kerala.gov.in,Joomla
ksywb.kerala.gov.in,WP
www.lfa.kerala.gov.in,Joomla
lifemission.kerala.gov.in,Drupal
kwa.kerala.gov.in,WP
livestock.kerala.gov.in,WP
lmd.kerala.gov.in,WP
malabardevaswom.kerala.gov.in,Joomla
www.malabardevaswom.kerala.gov.in,Joomla
www.mcc.kerala.gov.in,Joomla
mcc.kerala.gov.in,Joomla
medicalcouncil.kerala.gov.in,WP
mvd.kerala.gov.in,Drupal
patentcentre.kerala.gov.in,WP
odepc.kerala.gov.in,WP
prd.kerala.gov.in,Drupal
www.prd.kerala.gov.in,Drupal
psc.kerala.gov.in,Drupal
printing.kerala.gov.in,WP
rajbhavan.kerala.gov.in,Joomla
www.rajbhavan.kerala.gov.in,Joomla
rebuild.kerala.gov.in,WP
prdlive.kerala.gov.in,WP
sainikwelfare.kerala.gov.in,WP
www.scert.kerala.gov.in,WP
scert.kerala.gov.in,WP
sha.kerala.gov.in,WP
slna.kerala.gov.in,Drupal
www.socialaudit.kerala.gov.in,WP
spfu.kerala.gov.in,Joomla
www.statelottery.kerala.gov.in,Joomla
sribs.kerala.gov.in,WP
www.stdd.kerala.gov.in,Drupal
trida.kerala.gov.in,Drupal
www.vhscap.kerala.gov.in,Other CMS
www.townplanning.kerala.gov.in,WP
vhscap.kerala.gov.in,Other CMS
www.trida.kerala.gov.in,Drupal
